symbol,name,horizon_days,model,status,model_status,train_rows,test_rows,eligible_for_comparison,mae,rmse,mape,smape,rmspe,mase,absolute_percentage_error_p50,absolute_percentage_error_p90,directional_accuracy,error_message,arima_order
fil,Filecoin,7,Naive,success,VALIDATED_BASELINE,292,66,True,0.35025026807476867,0.5183517272741018,17.845573819568447,17.31099149436331,24.570929175731905,2.9127191585279877,11.093932146346148,43.51302168870183,0.0,,
fil,Filecoin,7,XGBoost,success,EXPERIMENTAL,292,66,True,0.8919539747529054,1.0165110813223897,54.20608934268606,39.79496948764927,63.45425116932819,7.417585845311541,62.176411563870104,88.48722547647512,42.42424242424242,,
fil,Filecoin,14,ARIMA,success,VALIDATED,292,59,True,0.5216965734701596,0.66445376791528,28.939534463830643,26.33708009428223,36.42847210194856,4.338485200418334,28.054253843636996,55.156154386593826,47.45762711864407,,"(1, 1, 1)"
fil,Filecoin,14,Naive,success,VALIDATED_BASELINE,292,59,True,0.522153042347603,0.6635315251845211,28.977133634291945,26.373713281603038,36.37964809310118,4.342281245034971,28.006700935995752,55.10560342806429,0.0,,
fil,Filecoin,14,XGBoost,success,EXPERIMENTAL,292,59,True,0.850937571371126,0.9171774391878439,51.69628421407321,39.49835726415537,57.17456277684392,7.076488993050124,59.29697636161837,73.92095172922856,42.3728813559322,,
fil,Filecoin,30,ARIMA,success,VALIDATED,292,43,True,0.4890584063424391,0.581492625947356,27.578514322414982,25.262754322474716,33.57177470763282,4.067062668139626,25.71751761867703,51.439714515629795,53.48837209302325,,"(1, 1, 1)"
fil,Filecoin,30,Naive,success,VALIDATED_BASELINE,292,43,True,0.48900711409975745,0.5809646087162628,27.58450654387019,25.255977171759614,33.55802960672534,4.0666361162949585,25.500428807238013,51.23699913496134,0.0,,
fil,Filecoin,30,XGBoost,success,EXPERIMENTAL,292,43,True,0.49409073570807444,0.6525932222222678,27.0079620301701,23.776118267347908,35.211041583079194,4.108912064104057,16.535069471364167,58.5719249420839,90.69767441860465,,
flr,Flare,1,ARIMA,success,VALIDATED,292,72,True,0.0006583120858597502,0.0009391005937176473,3.583526983308286,3.5364913194636785,4.970439316306023,1.0147293151435037,2.7976284316199793,7.668501841138061,52.77777777777778,,"(1, 1, 0)"
flr,Flare,1,Naive,success,VALIDATED_BASELINE,292,72,True,0.0006621018174170929,0.0009517906046213649,3.5917720697295956,3.546620399679888,4.9954048158517175,1.020570848043113,2.785270852268801,7.936896399296719,0.0,,
